scheme_name,state,category,income_limit,education_level,benefits,documents_required,deadline
The West Bengal Incentive Scheme: Additional Incentive on Generation of Employment,Karnataka,Business & Entrepreneurship,,State,"Group A, B, C & D areas: 60% for a period of 5 years Special Areas: 60% for a period of 10 years.","Documents required for the Registration and Eligibility Certificate (Form I) : A copy of the Memorandum and Articles of Association issued by the Registrar of Companies/ Partnership agreement. A Statement of names and addresses of the Director/ Partners/Owners of the company. Project Report. Valid No objection Certificate from pollution control Board. Valid No objection Certificate from West Bengal Fire Service. In case of loan, Photocopy of Sanction letter from the Central Financial Institution/State Financial institution/ Bank. Copy of the Audited Balance sheet for the last 3 years with Income Tax acknowledgement. Estimate for Building and Plant & Machinery vetted by Govt. Registered Valluer / Chattered Valluer. Land Deed and all other Documents supporting statements made in the Form (Mutation/ROR, Conversion Certificate, site plan,clearance from M.A. Deptt. etc. All applicable clearance from Govt. authorities (Forest, CRZ, Police, etc.). Sarai Registration Certificate under Bengal Sarai Regulation Act (in case Hotel started their Commercial operation) Valid Trade License from appropriate authority. GST Certificate and GST return. Sanctioned Building Plan from appropriate authority (KMC/ Municipality/ Panchayat/or any other appropriate authority). Documents required for the Additional Incentive on Generation of Employment: Copies of documents regarding contributions made to ESI/EPF. A statement showing the name of workers, their age, date of appointment, nature of appointment and nature of work employment exchange card number and attested copies of the employment exchange card. Certificate from the Regional Provident Fund Commissioner/Director, ESI as per Annexure-A. (format is available for download in the attachment section).",
The West Bengal Incentive Scheme: Capacity Utilisation,Karnataka,Business & Entrepreneurship,,State,"Pattern of Assistance: 50%, subject to a maximum of â‚¹7,50,000/-.","Documents required for the Registration and Eligibility Certificate (Form I) : A copy of the Memorandum and Articles of Association issued by the Registrar of Companies/ Partnership agreement. A Statement of names and addresses of the Director/ Partners/Owners of the company. Project Report. Valid No objection Certificate from pollution control Board. Valid No objection Certificate from West Bengal Fire Service. In case of loan, Photocopy of Sanction letter from the Central Financial Institution/State Financial institution/ Bank. Copy of the Audited Balance sheet for the last 3 years with Income Tax acknowledgement. Estimate for Building and Plant & Machinery vetted by Govt. Registered Valluer / Chattered Valluer. Land Deed and all other Documents supporting statements made in the Form (Mutation/ROR, Conversion Certificate, site plan,clearance from M.A. Deptt. etc. All applicable clearance from Govt. authorities (Forest, CRZ, Police, etc.) Sarai Registration Certificate under Bengal Sarai Regulation Act (in case Hotel started their Commercial operation) Valid Trade License from appropriate authority. GST Certificate and GST return. Sanctioned Building Plan from appropriate authority (KMC/ Municipality/ Panchayat/or any other appropriate authority). Documents required for the application of ""Capacity Utilisation"": Schedule of the lands. Sketch map of the land. Building purchased. Details of the proposed fixed capital investment to be made. Certificate to be issued by the Director of Tourism, Govt. of West Bengal, as per Annexure-A (format is available for download in attachment section).",
The West Bengal Incentive Scheme: Interest Subsidy on Term Loan,Karnataka,Business & Entrepreneurship,,State,"Group-'Aâ€™ and â€˜B' areas: 50%, subject to a limit of â‚¹ 25,00,000/- per year, for 5 years. Group-'C' and 'D' areas: 60%, subject to a limit of â‚¹ 25,00,000/- per year, for 7 years. Special Areas: 75% , subject to a limit of â‚¹ 30,00,000/- per year, for 7 years. Note: The interest subsidy will be payable annually subject to submission of statement or certificate by the lending bank/financial institution to prove that the unit has paid the due interest to the institution on the due dates. The subsidy shall, however, not be paid in respect of term loans availed for second-hand plant and machinery or hire-purchase equipment. ï»¿","Documents required for the Registration and Eligibility Certificate (Form I) : A copy of the Memorandum and Articles of Association issued by the Registrar of Companies/ Partnership agreement. A Statement of names and addresses of the Director/ Partners/Owners of the company. Project Report. Valid No objection Certificate from pollution control Board. Valid No objection Certificate from West Bengal Fire Service. In case of loan, Photocopy of Sanction letter from the Central Financial Institution/State Financial institution/ Bank. Copy of the Audited Balance sheet for the last 3 years with Income Tax acknowledgement. Estimate for Building and Plant & Machinery vetted by Govt. Registered Valluer / Chattered Valluer. Land Deed and all other Documents supporting statements made in the Form (Mutation/ROR, Conversion Certificate, site plan,clearance from M.A. Deptt. etc. All applicable clearance from Govt. authorities (Forest, CRZ, Police, etc.) Sarai Registration Certificate under Bengal Sarai Regulation Act (in case Hotel started their Commercial operation) Valid Trade License from appropriate authority. GST Certificate and GST return. Sanctioned Building Plan from appropriate authority (KMC/ Municipality/ Panchayat/or any other appropriate authority). Documents required for the application of Interest Subsidy on Term Loan: A Certificate from a Bank/Financial Institution is to be furnished in the format as per Annexure-A (format is available for download in attachment section).",
The West Bengal Incentive Scheme: Reimbursement of Stamp Duty and Registration Fee,Karnataka,Business & Entrepreneurship,,State,"Group A and B: 50%, Group C and D: 60%, Special Areas: 70%.","Documents required for the Registration and Eligibility Certificate (Form I) : A copy of the Memorandum and Articles of Association issued by the Registrar of Companies/ Partnership agreement. A Statement of names and addresses of the Director/ Partners/Owners of the company. Project Report. Valid No objection Certificate from pollution control Board. Valid No objection Certificate from West Bengal Fire Service. In case of loan, Photocopy of Sanction letter from the Central Financial Institution/State Financial institution/ Bank. Copy of the Audited Balance sheet for the last 3 years with Income Tax acknowledgement. Estimate for Building and Plant & Machinery vetted by Govt. Registered Valluer / Chattered Valluer. Land Deed and all other Documents supporting statements made in the Form (Mutation/ROR, Conversion Certificate, site plan,clearance from M.A. Deptt. etc. All applicable clearance from Govt. authorities (Forest, CRZ, Police, etc.). Sarai Registration Certificate under Bengal Sarai Regulation Act (in case Hotel started their Commercial operation) Valid Trade License from appropriate authority. GST Certificate and GST return. Sanctioned Building Plan from appropriate authority (KMC/ Municipality/ Panchayat/or any other appropriate authority). Documents required for the application of Reimbursement of Stamp Duty and Registration Fee: Schedule of the lands. Sketch map of the land. Building purchased. Documents showing payment of Stamp Duty and Registration Fee. Certificate to be issued by the Director of Tourism, Govt. of West Bengal, as per Annexure-A (format is available for download in attachment section).",
The West Bengal Incentive Scheme: State Capital Investment Subsidy,Karnataka,Business & Entrepreneurship,,State,"Group A: 7.5%, subject to a limit of â‚¹ 1,00,00,000/-, Group B: 10%, subject to a limit of â‚¹ 1,00,00,000/-, Group C: 15%, subject to a limit of â‚¹ 1,20,00,000/-, Group D: 20%, subject to a limit of â‚¹ 1,50,00,000/-. Special Area: 25%, subject to a limit of â‚¹ 1,75,00,000/-. Note: In no case, the amount of this subsidy to an eligible unit in respect of the building component will exceed 50% of the total State Capital Investment Subsidy given to the unit.","Documents required for the Registration and Eligibility Certificate (Form I) : A copy of the Memorandum and Articles of Association issued by the Registrar of Companies/ Partnership agreement. A Statement of names and addresses of the Director/ Partners/Owners of the company. Project Report. Valid No objection Certificate from pollution control Board. Valid No objection Certificate from West Bengal Fire Service. In case of loan, Photocopy of Sanction letter from the Central Financial Institution/State Financial institution/ Bank. Copy of the Audited Balance sheet for the last 3 years with Income Tax acknowledgement. Estimate for Building and Plant & Machinery vetted by Govt. Registered Valluer / Chattered Valluer. Land Deed and all other Documents supporting statements made in the Form (Mutation/ROR, Conversion Certificate, site plan,clearance from M.A. Deptt. etc. All applicable clearance from Govt. authorities (Forest, CRZ, Police, etc.) Sarai Registration Certificate under Bengal Sarai Regulation Act (in case Hotel started their Commercial operation) Valid Trade License from appropriate authority. GST Certificate and GST return. Sanctioned Building Plan from appropriate authority (KMC/ Municipality/ Panchayat/or any other appropriate authority). Documents required for the application of State Capital Investment Subsidy: A copy of the Techno-Economic Feasibility Report. A copy of (loan) sanctioned letter issued by Financial Institution/Bank. Valuation Certificate by Govt, registered valuer regarding building and plant & machinery. A certificate from a Chartered Accountant as per Annexure-A (format is available for download in attachment section). A certificate in respect of fixed assets as per Annexure-B (format is available for download in attachment section). Audited Annual Accounts till date. GST Return. Trade License up to date. Proof of date of commencement of commercial operation.",
The West Bengal Incentive Scheme: Subsidy for Quality Improvement,Karnataka,Business & Entrepreneurship,,State,"50%, subject to a maximum of â‚¹ 7,50,000/-.","Documents required for the Registration and Eligibility Certificate (Form I) : A copy of the Memorandum and Articles of Association issued by the Registrar of Companies/ Partnership agreement. A Statement of names and addresses of the Director/ Partners/Owners of the company. Project Report. Valid No objection Certificate from pollution control Board. Valid No objection Certificate from West Bengal Fire Service. In case of loan, Photocopy of Sanction letter from the Central Financial Institution/State Financial institution/ Bank. Copy of the Audited Balance sheet for the last 3 years with Income Tax acknowledgement. Estimate for Building and Plant & Machinery vetted by Govt. Registered Valluer/ Chattered Valluer. Land Deed and all other Documents supporting statements made in the Form (Mutation/ROR, Conversion Certificate, site plan, clearance from M.A. Deptt. etc. All applicable clearance from Govt. authorities (Forest, CRZ, Police, etc.). Sarai Registration Certificate under Bengal Sarai Regulation Act (in case Hotel started their Commercial operation) Valid Trade License from appropriate authority. GST Certificate and GST return. Sanctioned Building Plan from appropriate authority (KMC/ Municipality/ Panchayat/or any other appropriate authority). Documents required for the application of Subsidy For Quality Improvement : Schedule of the Pollution control equipment purchased and installed. Documents showing cost and dates of procurement of equipment. Copy of the Certification from the appropriate authorities. Documents showing payment of GST. A certificate from a Chartered Accountant as per Annexure-A1 (format is available for download in attachment section). A certificate in respect of fixed assets as per Annexure-B (format is available for download in attachment section). A certificate to be issued by W.B. Pollution Control Board as per Annexure C (format is available for download in attachment section). Certificate to be issued by the Director of Tourism, Govt. of West Bengal, as per Annexure-A (format is available for download in attachment section).",
The West Bengal Incentive Scheme: Tourism Promotion Assistance in lieu of Interest Subsidy,Karnataka,Business & Entrepreneurship,,State,"Pattern of Assistance: Assistance at the rate of 75% of SGST for 5 years irrespective of the location of the project, which will be in lieu of interest subsidy. ï»¿","Documents required for the Registration and Eligibility Certificate (Form I) : A copy of the Memorandum and Articles of Association issued by the Registrar of Companies/ Partnership agreement. A Statement of names and addresses of the Director/ Partners/Owners of the company. Project Report. Valid No objection Certificate from pollution control Board. Valid No objection Certificate from West Bengal Fire Service. In case of loan, Photocopy of Sanction letter from the Central Financial Institution/State Financial institution/ Bank. Copy of the Audited Balance sheet for the last 3 years with Income Tax acknowledgement. Estimate for Building and Plant & Machinery vetted by Govt. Registered Valluer / Chattered Valluer. Land Deed and all other Documents supporting statements made in the Form (Mutation/ROR, Conversion Certificate, site plan,clearance from M.A. Deptt. etc. All applicable clearance from Govt. authorities (Forest, CRZ, Police, etc.) Sarai Registration Certificate under Bengal Sarai Regulation Act (in case Hotel started their Commercial operation) Valid Trade License from appropriate authority. GST Certificate and GST return. Sanctioned Building Plan from appropriate authority (KMC/ Municipality/ Panchayat/or any other appropriate authority). Documents required for the application of â€œTourism Promotion Assistance in lieu of Interest Subsidyâ€: Certificate from the Commissioner of GST, Govt. of West Bengal as per Annexure A (format is available for download in attachment section).",
The West Bengal Incentive Scheme: Waiver of Electricity Duty,Karnataka,Business & Entrepreneurship,,State,An eligible unit will be entitled to waiver of electricity duty on the electricity consumed in its approved project for a period of 5 years from the date of commercial operation.,"Documents required for the Registration and Eligibility Certificate (Form I): A copy of the Memorandum and Articles of Association issued by the Registrar of Companies/ Partnership agreement. A Statement of names and addresses of the Director/ Partners/Owners of the company. Project Report. Valid No objection Certificate from pollution control Board. Valid No objection Certificate from West Bengal Fire Service. In case of loan, Photocopy of Sanction letter from the Central Financial Institution/State Financial institution/ Bank. Copy of the Audited Balance sheet for the last 3 years with Income Tax acknowledgement. Estimate for Building and Plant & Machinery vetted by Govt. Registered Valluer / Chattered Valluer. Land Deed and all other Documents supporting statements made in the Form (Mutation/ROR, Conversion Certificate, site plan,clearance from M.A. Deptt. etc. All applicable clearance from Govt. authorities (Forest, CRZ, Police, etc.). Sarai Registration Certificate under Bengal Sarai Regulation Act (in case Hotel started their Commercial operation) Valid Trade License from appropriate authority. GST Certificate and GST return. Sanctioned Building Plan from appropriate authority (KMC/ Municipality/ Panchayat/or any other appropriate authority). Documents required for the application of Waiver of Electricity Duty: Copy of Registration Certificate issued by Director of Tourism, Govt, of Wes, Bengal Copy of Eligibility Certificate issued by WBTDC Ltd. Copy of documents regarding supply of electricity to the unit. Copy of last Electricity Bill (to be submitted as and when received).",
West Bengal Textile Incentive Scheme: Incentive for Energy Efficiency,Karnataka,Business & Entrepreneurship,,State,"50% subject to a maximum of â‚¹2,00,000/- (For the cost of energy audit). 25% for subject to a maximum of 10,00,000/- (For the  cost of installations for energy conservation).","Copies of relevant bills, money receipts for expenditure incurred towards the cost of Energy Audit and installations for energy conservation. Copy of Energy Audit Report/Recommendations of the Certified Agency related to the claim in question. Details of installations for energy conservation. Any other documents as required.",
West Bengal Textile Incentive Scheme: Power Subsidy,Karnataka,Business & Entrepreneurship,,State,"â‚¹ 2,00,00,000/- to 50,00,000/- per annum for 5 years. ï»¿",Copies of all Electricity Bills and corresponding money receipts for which the claim is made. Any other documents as required.,
West Bengal Textile Incentive Scheme: State Capital Investment Subsidy,Karnataka,Business & Entrepreneurship,,State,"An eligible textile sector enterprise in the state will be entitled to State Capital Investment Subsidy for its approved project as follows: ï»¿ Sl. No. Type of Manufacturing Activities Quantum of Subsidy Maximum Admissible Amount 1. Spinning (short staple) 10% â‚¹2,00,00,00,00/- 2. Weaving & Knitting (warp and flat-bed) and texturing & twisting 20% â‚¹1,00,00,00,00/- 3. Circular knitting 10% â‚¹50,00,00,00/- 4. Dyeing and processing of fibers, yarn, fabric and garment 20% â‚¹2,00,00,00,00/- 5. Technical textile (Agrotech, Buildtech, Indutech, Geotech, and Medi-tech) and Non-woven fabric manufacturing 20% â‚¹2,50,00,00,00/- 6. Technical textile (All categories except Agrotech, Buildtech, Indutech, Geotech, and Medi-tech) 10% â‚¹1,00,00,00,00/- 7. Polymerization 20% â‚¹5,00,00,00,00/- 8. Composite type of textile unit comprising spinning, weaving, processing (dyeing and processing of fibers, yarn, fabric and garments), technical textile etc. 10% â‚¹5,00,00,00,00/- ï»¿",Auditorâ€™s/ Chartered Accountantâ€™s Certificate for utilization of funds. A certificate from a Chartered Accountant as per Annexure - I. ï»¿ A certificate in respect of fixed assets as per Annexure - II. ï»¿ Any other documents as required.,
West Bengal Textile Incentive Scheme: Subsidy for Water conservation/ Environment Compliance,Karnataka,Business & Entrepreneurship,,State,"A reimbursement of 25%  subject to a maximum of â‚¹ 1,50,00,000/-. For a cluster of units with a minimum of 5 units with an investment of minimum Rs. 200 crores, the state Govt. in the MSMET department will set up a Common Effluent Treatment Plants (CETP) to be run by an Special Purpose Vehicle (SPV) of the clustered units and the running cost will be borne by those units.","Copies of relevant bills, money receipts for expenditure incurred towards cost of Captive Effluent Water Treatment Plant and Pollution Control Devices. Details of Captive Effluent Water Treatment Plant and Pollution Control Devices. Any other documents as required.",
West Bengal Textile Incentive Scheme: Waiver of Electricity Duty,Karnataka,Business & Entrepreneurship,,State,"100% waiver of electricity duty for 5 years from the date of commencement of production subject to a maximum of â‚¹1,00,00,000/- per year.","Copy of Eligibility Certificate under West Bengal Textile Incentive Scheme, 2022 as modified from time to time certifying the date of commencement of production. Copy of Udyam Reg./lEM(B). Copy of documents regarding supply of electricity to the unit. Copies of all relevant electricity bills (to be submitted as and when received). Any other documents, if necessary.",
West Bengal Textile Incentive Scheme: Waiver of Fees for Land Conversion and Mutation,Karnataka,Business & Entrepreneurship,,State,100% waiver of fees for conversion and mutation of the land as approved in the project.,Copy of land record. Documents showing payment of fees for Land Conversion & Mutation. Any other documents as required.,
Workers In Case Of His Partial Permanent Disablement-JKBOCWWB,Karnataka,Social welfare & Empowerment,,State,"Under the scheme, Rs. 1,00,000 is provided to registered BOC workers in case of partial permanent disablement.","Original Medical Certificate issued by the Medical Board or competent authority. Attested Age Proof of the registered worker. Duly attested photocopy of Bank Passbook of the worker or nominee/legal heir, or a cancelled cheque bearing the name of the worker/nominee/legal heir and IFSC code of the bank branch. Photocopy of Aadhaar Card/Biometric Card of the registered worker. Registration Certificate of the worker under the BOC Welfare Board. Proof of employment in the building/construction sector (work records or pay slips). Disability Certificate from a recognized medical authority confirming the partial permanent disablement. Proof of residence (Voter ID, Ration Card, Utility Bill, etc.) for address verification. Photograph of the worker (passport size). Income Certificate to establish eligibility under the scheme (if applicable).",
"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",Karnataka,Skills & Employment,,State,"Skill Training Selected candidates are sponsored to training in relevant courses offered by reputed Training Institutions situated in the neighbouring states. Stipend to Trainee (per month) Higher Secondary / ITI: â‚¹ 2,500/-. Any Graduate or 3 years Diploma in Engineering or equivalent: â‚¹ 3,000/-. Travelling Allowances One-time to and fro expenses restricted to 2nd class train fare and accommodation charges as fixed by the institute Course Fees / Honorarium and Accommodation Charges As prescribed by the training units/institutions will be paid. Period of Training As prescribed by the Training Units/ Institutions.","Aadhaar Card. Applicant's Passport-sized Photo. Residence-cum-Nativity Certificate, issued by the competent authority. Age Proof. Educational Certificates/Marksheets.",
"""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme",Karnataka,Skills & Employment,,State,"Trainees receive a stipend of â‚¹2,500 per month. Accommodation charges for trainees are â‚¹500 per month. Travelling allowance covers to-and-fro 2nd class sleeper train fare. Full course fees are paid to the training units/institutions as prescribed.",Birth Certificate/Education Certificate/Residence Certificate. Age Proof. Educational Qualification Certificates.,
"""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme",Karnataka,Skills & Employment,,State,"Course Fee: as Prescribed by the Training Institution. Stipend: â‚¹2,500/- Per Month Per Trainee. Accommodation Charges: â‚¹500/- Per Month Per Trainee. Travelling Allowance: Restricted to to-and-fro 2nd Class (Berth) Train Fare. Period of Training: As Prescribed by the Training Unit/institution.",Birth Certificate/ Residential Certificate. Proof of Age. Educational Certificates/Marksheets.,
